rank,title,year,imdb rating,director,stars,genre,runtime,language,country
208,Vertigo,1958,8.2,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",Mystery,128 min,English,USA
209,Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",Biography,146 min,English,USA
210,The Departed,2006,8.5,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",Crime,151 min,English,USA
211,Gladiator,2000,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",Action,155 min,English,USA
212,Amadeus,1984,8.3,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge",Biography,160 min,English,USA
213,Paths of Glory,1957,8.4,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",Drama,88 min,English,USA
214,Full Metal Jacket,1987,8.3,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",Drama,116 min,English,UK
215,Taxi Driver,1976,8.3,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd",Crime,113 min,English,USA
216,Snatch,2000,8.2,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham",Crime,102 min,English,UK
217,The Kid,1921,8.3,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan",Comedy,68 min,English,USA
218,The Sting,1973,8.3,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw",Crime,129 min,English,USA
219,The Hunt,2012,8.3,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkop",Drama,115 min,Danish,Denmark
220,A Separation,2011,8.2,Asghar Farhadi,"Peyman Moaadi, Leila Hatami, Sareh Bayat",Drama,123 min,Persian,Iran
221,The Gold Rush,1925,8.2,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray",Adventure,95 min,English,USA
222,The Great Escape,1963,8.2,John Sturges,"Steve McQueen, James Garner, Richard Attenborough",Adventure,172 min,English,USA
223,Singin' in the Rain,1952,8.3,Stanley Donen,Gene Kelly,"Gene Kelly, Donald O'Connor, Debbie Reynolds",Comedy,103 min,English,USA
224,Citizen Kane,1941,8.3,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore",Drama,119 min,English,USA
225,The General,1926,8.2,Buster Keaton,Clyde Bruckman,"Buster Keaton, Marion Mack, Glen Cavender",Action,78 min,English,USA
226,The Bridge on the River Kwai,1957,8.2,David Lean,"William Holden, Alec Guinness, Jack Hawkins",Adventure,161 min,English,UK
227,The Seventh Seal,1957,8.2,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",Drama,96 min,Swedish,Sweden
228,Vertigo,1958,8.2,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",Mystery,128 min,English,USA
229,Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",Biography,146 min,English,USA
230,The Departed,2006,8.5,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",Crime,151 min,English,USA
231,Gladiator,2000,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",Action,155 min,English,USA
232,Amadeus,1984,8.3,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge",Biography,160 min,English,USA
233,Paths of Glory,1957,8.4,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",Drama,88 min,English,USA
234,Full Metal Jacket,1987,8.3,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",Drama,116 min,English,UK
235,Taxi Driver,1976,8.3,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd",Crime,113 min,English,USA
236,Snatch,2000,8.2,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham",Crime,102 min,English,UK
237,The Kid,1921,8.3,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan",Comedy,68 min,English,USA
238,The Sting,1973,8.3,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw",Crime,129 min,English,USA
239,The Hunt,2012,8.3,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkop",Drama,115 min,Danish,Denmark
240,A Separation,2011,8.2,Asghar Farhadi,"Peyman Moaadi, Leila Hatami, Sareh Bayat",Drama,123 min,Persian,Iran
241,The Gold Rush,1925,8.2,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray",Adventure,95 min,English,USA
242,The Great Escape,1963,8.2,John Sturges,"Steve McQueen, James Garner, Richard Attenborough",Adventure,172 min,English,USA
243,Singin' in the Rain,1952,8.3,Stanley Donen,Gene Kelly,"Gene Kelly, Donald O'Connor, Debbie Reynolds",Comedy,103 min,English,USA
244,Citizen Kane,1941,8.3,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore",Drama,119 min,English,USA
245,The General,1926,8.2,Buster Keaton,Clyde Bruckman,"Buster Keaton, Marion Mack, Glen Cavender",Action,78 min,English,USA
246,The Bridge on the River Kwai,1957,8.2,David Lean,"William Holden, Alec Guinness, Jack Hawkins",Adventure,161 min,English,UK
247,The Seventh Seal,1957,8.2,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",Drama,96 min,Swedish,Sweden
248,Vertigo,1958,8.2,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",Mystery,128 min,English,USA
249,Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",Biography,146 min,English,USA
250,The Departed,2006,8.5,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",Crime,151 min,English,USA
5000,Pather Panchali,1955,8.5,Satyajit Ray,"Subir Banerjee, Kanu Banerjee, Karuna Banerjee",Drama,125 min,Bengali,India
5001,Aparajito,1956,8.3,Satyajit Ray,"Pinaki Sengupta, Smaran Ghosal, Karuna Banerjee",Drama,110 min,Bengali,India
5002,Apur Sansar,1959,8.4,Satyajit Ray,"Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty",Drama,105 min,Bengali,India
5003,Charulata,1964,8.1,Satyajit Ray,"Madhabi Mukherjee, Soumitra Chatterjee, Shailen Mukherjee",Drama/Romance,117 min,Bengali,India
5004,The Music Room,1958,8.0,Satyajit Ray,"Chhabi Biswas, Padma Devi, Pinaki Sengupta",Drama,100 min,Bengali,India
5005,Nayak,1966,8.2,Satyajit Ray,"Uttam Kumar, Sharmila Tagore, Bireswar Sen",Drama,120 min,Bengali,India
5006,Devi,1960,8.0,Satyajit Ray,"Sharmila Tagore, Soumitra Chatterjee, Chhabi Biswas",Drama,93 min,Bengali,India
5007,Jalsaghar,1958,8.0,Satyajit Ray,"Chhabi Biswas, Padma Devi, Pinaki Sengupta",Drama,100 min,Bengali,India
5008,Shatranj Ke Khilari,1977,7.8,Satyajit Ray,"Sanjeev Kumar, Saeed Jaffrey, Shabana Azmi",Drama/History,129 min,Hindi,India
5009,Agantuk,1991,8.1,Satyajit Ray,"Utpal Dutt, Dipankar Dey, Mamata Shankar",Drama,120 min,Bengali,India
